col_001,col_002,col_003,col_004,col_005,col_006,col_007,col_008,col_009,col_010,col_011,col_012,col_013,col_014,col_015,col_016,col_017,col_018,col_019,col_020,col_021,col_022,col_023,col_024,col_025,col_026,col_027,col_028
4. 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1. 지역별 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market by Region,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,경기,강원,경남,경북,전남,전북,충남,충북,제주,서울,인천,구분,대전,광주,대구,세종,울산,부산,RPS의무이행비용정산금,배출권거래비용정산금,예측제도정산금,전국,[단위 : 억원],,,,
,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,Seoul,Incheon,,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Renewable Portfolio Standard Payment,Emission Trading Settlement Payment,Power Demand Forecasting Payment,Total,[Unit : 100 Million Won],,,,
2019,17583,16625,16226,16083,16386,17025,17976,19481,22480,23700,23835,23482,2019,21201,22951,23626,23674,24208,24059,23756,23323,22054,20642,19742,19598,499718,
2020,14897,14081,13734,13585,13840,14425,15200,16759,19798,20853,20838,20441,2020,18455,20011,20739,20923,21613,21523,21199,20929,19809,18271,17125,16877,435925,
2021,19216,18185,17640,17454,17952,19044,20628,22670,26677,26731,25992,24788,2021,21953,24203,25413,26236,27655,27844,27137,25514,23531,21950,20897,21417,550727,
2022,31123,29109,27916,27476,28155,29787,31937,35217,40209,41388,40673,39373,2022,36790,39216,40990,42254,44076,44521,44032,42877,40430,37549,35126,34351,884575,
2022.1,2361,2228,2122,2079,2162,2282,2506,3016,3627,3632,3510,3296,2022.1,2942,3116,3263,3342,3549,3615,3607,3408,3093,2671,2530,2753,70709,
2,2589,2408,2309,2302,2382,2518,2715,3090,3666,3645,3471,3208,2,2794,2967,3105,3238,3423,3481,3523,3391,3163,2876,2740,2810,71813,
3,2707,2577,2512,2505,2591,2721,2876,3038,3358,3349,3173,3013,3,2801,2881,2936,3031,3146,3219,3267,3250,3130,3005,2916,2909,70913,
4,2598,2464,2399,2387,2453,2568,2685,2769,2867,2803,2707,2597,4,2448,2564,2665,2784,2942,3026,3097,3225,3082,2973,2866,2802,65773,
5,2092,2015,1980,1961,1981,2035,2098,2151,2216,2216,2180,2143,5,2097,2211,2297,2374,2476,2528,2565,2597,2558,2453,2339,2262,53823,
6,1841,1757,1699,1667,1682,1743,1852,1967,2099,2167,2209,2214,6,2161,2297,2456,2493,2578,2543,2450,2406,2344,2224,2106,2013,50968,
7,2778,2638,2534,2454,2480,2566,2742,2973,3405,3778,3894,3958,7,3735,4112,4314,4378,4462,4428,4204,4126,3945,3662,3310,3031,83906,
8,2697,2419,2235,2147,2143,2301,2593,3040,3816,4266,4400,4467,8,4329,4561,4687,4758,4856,4864,4813,4815,4579,4067,3524,3192,89570,
9,2702,2454,2346,2314,2355,2474,2645,2933,3199,3495,3516,3510,9,3367,3678,3883,4025,4165,4113,4080,3975,3630,3368,3128,2949,78304,
10,2819,2564,2428,2369,2458,2703,2885,3148,3433,3420,3312,3194,10,3070,3225,3415,3567,3717,3859,3963,3860,3673,3482,3252,3125,76942,
11,2822,2608,2443,2405,2514,2748,2979,3242,3760,3771,3539,3217,11,3020,3249,3463,3642,3977,4076,3911,3613,3439,3289,3112,3086,77926,
12,3116,2976,2908,2885,2953,3129,3363,3849,4765,4848,4761,4557,12,4026,4355,4507,4623,4783,4768,4550,4210,3795,3481,3302,3418,93929,
1) 시간대별 거래금액은 소수점 없이 반올림한 수치로 1시~24시의 합산값이 합계(Total)과 동일하지 않을 수 있습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,
